domain,shingle,label
http://www.fountainpenscollectionforgiftsanyday1989.info,"[-1, 4, 8, 0, 7, 0, -1, 5]",Catalogo
https://www.mymemory.co.uk,"[0, 3, -1, 0, 0, 1, 0, -1]",Catalogo
https://www.rcwilley.com,"[-1, 1, 2, 0, 0, 0, -1, 0]",Prodotto
http://www.wholesalesalestore.com,"[2, 3, 0, 0, 3, -1, 7, -1]",Prodotto
http://www.icheckstock.com,"[-1, 3, 7, 4, 4, 2, 6, 0]",Prodotto
https://www.etuo.de,"[-1, 2, 2, 1, 0, 1, -1, 4]",Catalogo
https://www.etuo.de,"[0, -1, 0, -1, 0, 1, 5, 4]",Prodotto
https://www.kliklak.rs,"[-1, 16, 6, 4, 15, 3, 3, 13]",Catalogo
https://www.alzashop.com,"[0, 3, -1, -1, 0, 2, 3, 1]",Prodotto
http://www.murahprice.org,"[-1, 8, 3, 3, 0, 4, 2, 3]",Prodotto
https://www.redcorp.com,"[-1, 1, -1, 1, 0, 0, 0, 0]",Prodotto
https://www.bluechip.hu,"[-1, 3, 6, 2, -1, 2, 12, 0]",Prodotto
https://www.youtab.pl,"[-1, 2, 6, 0, 7, 0, 2, -1]",Catalogo
https://www.youtab.pl,"[-1, 2, -1, 0, 7, 1, 2, 1]",Prodotto
https://www.smithscity.co.nz,"[0, -1, 0, 0, -1, 0, 5, 0]",Prodotto
https://www.laptopdirect.co.za,"[-1, -1, 1, 1, 0, 3, 2, 5]",Catalogo
https://www.laptopdirect.co.za,"[0, 1, 0, 0, 0, -1, 2, -1]",Prodotto
https://www.xia-sale.com,"[-1, 3, -1, 0, 0, 3, 7, 4]",Prodotto
https://www.xia-sale.com,"[-1, -1, 6, 0, 0, 3, 7, 4]",Prodotto
