domain,shingle,label
https://www.etuo.de,"[-1, 2, 2, 1, 0, 1, -1, 4]",Catalogo
https://www.etuo.de,"[0, -1, 0, -1, 0, 1, 5, 4]",Prodotto
https://www.youtab.pl,"[-1, 2, 6, 0, 7, 0, 2, -1]",Catalogo
https://www.youtab.pl,"[-1, 2, -1, 0, 7, 1, 2, 1]",Prodotto
https://www.laptopdirect.co.za,"[-1, -1, 1, 1, 0, 3, 2, 5]",Catalogo
https://www.laptopdirect.co.za,"[0, 1, 0, 0, 0, -1, 2, -1]",Prodotto
https://www.addrom.com,"[-1, -1, 1, 3, 0, 6, 0, 5]",Catalogo
https://www.addrom.com,"[-1, 3, 1, 1, 0, 3, 0, -1]",Prodotto
https://www.xia-sale.com,"[-1, 3, -1, 0, 0, 3, 7, 4]",Prodotto
https://www.xia-sale.com,"[-1, -1, 6, 0, 0, 3, 7, 4]",Prodotto
